Place,LAT,LNG
Požega,45.3369114,17.6419799
Plaški,45.0542878,15.330512
Metković,43.046187,17.5983666
Slunj,45.1139008,15.5674458
Vukovar,45.3413542,18.9643156
Bakar,45.3009882,14.5371494
Bosiljevo,45.411985,15.2848901
Drniš,43.8630329,16.1161208
Vinkovci-Novo Selo,45.2649706,18.7216021
Ličko Lešće,44.780943,15.2960992
Račinovci,44.8777317,18.9462764
Ilok,45.2009995,19.3472102
Crni Lug-NP Risnjak,45.407593,14.7011185
Koprivnica,46.1676217,16.7861814
Samobor,45.8035069,15.6906467
Hrvatska Kostajnica,45.2346104,16.5303548
Kukuljanovo,45.3343987,14.4921141
Đakovo,45.311699,18.382556
Poreč,45.2312605,13.5628955
Beli Manastir,45.7466236,18.5698027
Virovitica,45.8389011,17.3585232
Sinj,43.7073286,16.6222608
Rovinj,45.073856,13.6006575
Gračac,44.2863104,15.7555473
Delnice,45.4143517,14.7568446
Silba,44.3642546,14.6592539
Božava,44.1394667,14.8911502
Krk,45.0809394,14.5903974
Slatina,45.682747,17.6713312
Lekenik,45.5861843,16.2232923
Kutina,45.4653374,16.7216489
Brestovac,45.3116895,17.552511
NP Mljet,42.7739505,17.4063497
Pula,44.8677349,13.8398008
Valpovo-Tiborjanci,45.6758917,18.3270325
Imotski,43.4475789,17.2105685
Čepić,45.4170235,13.8091236
Otočac,44.8731799,15.2198008
Lipik,45.4138051,17.1541942
Bilogora,45.8840781,17.1226823
Bjelovar,45.8967037,16.8340366
Crikvenica,45.1798453,14.6851914
Daruvar,45.5926516,17.2223305
Dubrovnik,42.6484548,18.0918585
Gospić,44.5431535,15.3697481
Gorice (kod Nove Gradiške),45.2180269,17.290327
Gradište,45.146046,18.7003332
Gruda,42.5142394,18.3731802
Hvar,43.174147,16.6414474
Karlovac,45.4906232,15.5437826
Knin,44.040682,16.1974535
Komiža,43.0374812,16.0948183
Krapina,46.1607005,15.8716745
Križevci,46.0296308,16.5316078
Kutjevo,45.421975,17.882563
Lastovo,42.758030,16.892425
Malinska,45.124124,14.525455
Makarska,43.292208,17.022053
Mali Lošinj,44.5487991,14.438483
Monte Kope,44.814055,13.8733527
Ogulin,45.264056,15.221698
Opatija,45.336694,14.305516
Osijek-Čepin,45.522207,18.574025
Palagruža,42.391878,16.263872
Parg-Čabar,45.596495,14.621201
Pazin,45.239544,13.935221
NP Plitvička jezera,44.858973,15.583825
Ploče,43.054258,17.436523
Porer,44.757897,13.890794
Prevlaka,45.671270,16.275294
Puntijarka (Medvednica),45.9155894,15.9622464
Rab,44.759038,14.758490
Rijeka,45.328547,14.438988
Sv. Ivan na pučini,45.0431526,13.6120285
Senj,44.9912618,14.9026746
Sisak,45.4733027,16.3750995
Slavonski Brod,45.158148,18.004701
Split-Marjan,43.514779,16.414678
Šibenik,43.734326,15.892897
Varaždin,46.304370,16.337462
Veli Rat,44.141824,14.843695
Zadar,44.116221,15.233454
Zagreb-Grič,45.778091,15.445764
Zagreb-Maksimir,45.8243616,16.0106818
Zavižan,44.8000143,14.9579119
